"module name","licenses"
"@actions/core@1.2.4","MIT"
"@actions/github@4.0.0","MIT"
"@actions/http-client@1.0.8","MIT"
"@financial-times/origami-service-makefile@7.0.3","MIT"
"@octokit/auth-token@2.4.2","MIT"
"@octokit/core@3.1.2","MIT"
"@octokit/endpoint@6.0.5","MIT"
"@octokit/graphql@4.5.4","MIT"
"@octokit/plugin-paginate-rest@2.3.0","MIT"
"@octokit/plugin-rest-endpoint-methods@4.1.2","MIT"
"@octokit/request-error@2.0.2","MIT"
"@octokit/request@5.4.7","MIT"
"@octokit/types@5.4.0","MIT"
"@sindresorhus/is@3.1.1","MIT"
"@szmarczak/http-timer@4.0.5","MIT"
"@types/cacheable-request@6.0.1","MIT"
"@types/color-name@1.1.1","MIT"
"@types/http-cache-semantics@4.0.0","MIT"
"@types/keyv@3.1.1","MIT"
"@types/node@14.6.0","MIT"
"@types/responselike@1.0.0","MIT"
"ajv@6.12.4","MIT"
"ansi-styles@4.2.1","MIT"
"argparse@1.0.10","MIT"
"array-uniq@1.0.2","MIT"
"asn1@0.2.4","MIT"
"assert-plus@1.0.0","MIT"
"asynckit@0.4.0","MIT"
"aws-sign2@0.7.0","Apache-2.0"
"aws4@1.10.1","MIT"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause"
"before-after-hook@2.1.0","Apache-2.0"
"bluebird@3.7.2","MIT"
"cacheable-lookup@5.0.3","MIT"
"cacheable-request@7.0.1","MIT"
"caseless@0.12.0","Apache-2.0"
"chalk@4.1.0","MIT"
"clone-response@1.0.2","MIT"
"color-convert@2.0.1","MIT"
"color-name@1.1.4","MIT"
"combined-stream@1.0.8","MIT"
"commander@2.20.3","MIT"
"core-util-is@1.0.2","MIT"
"dashdash@1.14.1","MIT"
"decompress-response@6.0.0","MIT"
"deep-extend@0.6.0","MIT"
"defer-to-connect@2.0.0","MIT"
"delayed-stream@1.0.0","MIT"
"deprecation@2.3.1","ISC"
"ecc-jsbn@0.1.2","MIT"
"end-of-stream@1.4.4","MIT"
"esprima@4.0.1","BSD-2-Clause"
"extend@3.0.2","MIT"
"extsprintf@1.3.0","MIT"
"fast-deep-equal@3.1.3","MIT"
"fast-json-stable-stringify@2.1.0","MIT"
"forever-agent@0.6.1","Apache-2.0"
"form-data@2.3.3","MIT"
"function-bind@1.1.1","MIT"
"get-stream@5.2.0","MIT"
"getpass@0.1.7","MIT"
"github-label-sync@2.0.0","MIT"
"got@11.5.2","MIT"
"har-schema@2.0.0","ISC"
"har-validator@5.1.5","MIT"
"has-flag@4.0.0","MIT"
"has@1.0.3","MIT"
"http-cache-semantics@4.1.0","BSD-2-Clause"
"http-signature@1.2.0","MIT"
"http2-wrapper@1.0.0-beta.5.2","MIT"
"is-plain-object@4.1.1","MIT"
"is-typedarray@1.0.0","MIT"
"is@3.3.0","MIT"
"isstream@0.1.2","MIT"
"js-yaml@3.14.0","MIT"
"jsbn@0.1.1","MIT"
"json-buffer@3.0.1","MIT"
"json-schema-traverse@0.4.1","MIT"
"json-schema@0.2.3","AFLv2.1,BSD"
"json-stringify-safe@5.0.1","ISC"
"jsprim@1.4.1","MIT"
"keyv@4.0.1","MIT"
"label-sync-action@1.0.0","ISC"
"lowercase-keys@2.0.0","MIT"
"mime-db@1.44.0","MIT"
"mime-types@2.1.27","MIT"
"mimic-response@1.0.1","MIT"
"mimic-response@3.1.0","MIT"
"node-fetch@2.6.0","MIT"
"node.extend@2.0.2","(MIT OR GPL-2.0)"
"normalize-url@4.5.0","MIT"
"oauth-sign@0.9.0","Apache-2.0"
"octonode@0.9.5","MIT"
"once@1.4.0","ISC"
"p-cancelable@2.0.0","MIT"
"performance-now@2.1.0","MIT"
"psl@1.8.0","MIT"
"pump@3.0.0","MIT"
"punycode@2.1.1","MIT"
"qs@6.5.2","BSD-3-Clause"
"quick-lru@5.1.1","MIT"
"randomstring@1.1.5","MIT"
"request@2.88.2","Apache-2.0"
"resolve-alpn@1.0.0","MIT"
"responselike@2.0.0","MIT"
"safe-buffer@5.2.1","MIT"
"safer-buffer@2.1.2","MIT"
"sprintf-js@1.0.3","BSD-3-Clause"
"sshpk@1.16.1","MIT"
"supports-color@7.1.0","MIT"
"tough-cookie@2.5.0","BSD-3-Clause"
"tunnel-agent@0.6.0","Apache-2.0"
"tunnel@0.0.6","MIT"
"tweetnacl@0.14.5","Unlicense"
"universal-user-agent@6.0.0","ISC"
"uri-js@4.2.2","BSD-2-Clause"
"uuid@3.4.0","MIT"
"verror@1.10.0","MIT"
"wrappy@1.0.2","ISC"

